index,X,Y,Z,formation
279,553889.61093282,7491130.76171934,574.0,Woongarra_Rhyolite
280,557227.06928224,7490864.78760403,570.0,Woongarra_Rhyolite
281,559976.55031327,7491333.30879878,596.0,Woongarra_Rhyolite
282,561330.88850814,7491654.82883698,576.0,Woongarra_Rhyolite
283,544699.73989818,7475046.10992834,453.0,Mount_Roe_Basalt
284,544150.72878163,7475933.60980426,471.0,Mount_Roe_Basalt
285,543982.23927846,7476596.63148853,458.0,Mount_Roe_Basalt
286,543984.66028306,7477112.14026553,456.0,Mount_Roe_Basalt
287,544003.99001284,7477163.14045784,456.0,Mount_Roe_Basalt
288,544245.43982986,7477117.142151101,453.0,Mount_Roe_Basalt
289,544410.8705882,7477129.1391501995,453.0,Mount_Roe_Basalt
290,540982.64075018,7521020.22144946,622.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
291,544262.24984361,7520065.68780876,642.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
292,547541.84023059,7518939.66095871,643.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
293,548814.52834324,7517299.63857782,642.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
294,547615.22835431,7516271.64891078,744.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
295,546513.85915331,7515023.63873331,730.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
296,544678.24831814,7513799.65971363,773.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
297,544029.57779792,7511765.41204221,668.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
298,543356.4892539,7509687.64878335,674.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
299,542597.7511562001,7507729.65009142,648.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
300,540762.07869624,7504939.64010277,604.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
301,538020.88079731,7503667.1522582,615.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
302,537555.86285074,7503544.64887548,597.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
303,535891.52870108,7502908.13748619,606.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
304,532856.65218931,7501611.11120583,587.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
305,532551.9559160123,7501631.318744306,573.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
306,518937.4305188186,7509337.013707113,623.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
307,522846.2688184,7510275.03141922,604.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
308,525636.48851511,7512135.57720255,597.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
309,528965.39037958,7513114.68148617,642.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
